Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
4. Destructuring	![Destructuring](https://i.imgur.com/eDY2iec.png)	Editorial		[]	false	[]	52
2. Classes	![Classes](https://i.imgur.com/dssBgCA.png)	Editorial		[]	false	[]	53
Hi	Hey! Welcome to React QnA bot. I have notes on the following topics:	Editorial		[]	false	[{"displayOrder":0,"qnaId":60,"displayText":"1. Review"},{"displayOrder":0,"qnaId":57,"displayText":"2. Next Gen JS"},{"displayOrder":0,"qnaId":69,"displayText":"3. Base Features & Syntax"},{"displayOrder":0,"qnaId":83,"displayText":"998. Random Facts"},{"displayOrder":0,"qnaId":77,"displayText":"999. Random Questions"},{"displayOrder":0,"qnaId":80,"displayText":"1000. Algo & Data"},{"displayOrder":0,"qnaId":110,"displayText":"997. TODO"},{"displayOrder":0,"qnaId":128,"displayText":"1001. IK"}]	54
Hey	Hey! Welcome to React QnA bot. I have notes on the following topics:	Editorial		[]	false	[{"displayOrder":0,"qnaId":60,"displayText":"1. Review"},{"displayOrder":0,"qnaId":57,"displayText":"2. Next Gen JS"},{"displayOrder":0,"qnaId":69,"displayText":"3. Base Features & Syntax"},{"displayOrder":0,"qnaId":83,"displayText":"998. Random Facts"},{"displayOrder":0,"qnaId":77,"displayText":"999. Random Questions"},{"displayOrder":0,"qnaId":80,"displayText":"1000. Algo & Data"},{"displayOrder":0,"qnaId":110,"displayText":"997. TODO"},{"displayOrder":0,"qnaId":128,"displayText":"1001. IK"}]	54
Hello	Hey! Welcome to React QnA bot. I have notes on the following topics:	Editorial		[]	false	[{"displayOrder":0,"qnaId":60,"displayText":"1. Review"},{"displayOrder":0,"qnaId":57,"displayText":"2. Next Gen JS"},{"displayOrder":0,"qnaId":69,"displayText":"3. Base Features & Syntax"},{"displayOrder":0,"qnaId":83,"displayText":"998. Random Facts"},{"displayOrder":0,"qnaId":77,"displayText":"999. Random Questions"},{"displayOrder":0,"qnaId":80,"displayText":"1000. Algo & Data"},{"displayOrder":0,"qnaId":110,"displayText":"997. TODO"},{"displayOrder":0,"qnaId":128,"displayText":"1001. IK"}]	54
Howdy	Hey! Welcome to React QnA bot. I have notes on the following topics:	Editorial		[]	false	[{"displayOrder":0,"qnaId":60,"displayText":"1. Review"},{"displayOrder":0,"qnaId":57,"displayText":"2. Next Gen JS"},{"displayOrder":0,"qnaId":69,"displayText":"3. Base Features & Syntax"},{"displayOrder":0,"qnaId":83,"displayText":"998. Random Facts"},{"displayOrder":0,"qnaId":77,"displayText":"999. Random Questions"},{"displayOrder":0,"qnaId":80,"displayText":"1000. Algo & Data"},{"displayOrder":0,"qnaId":110,"displayText":"997. TODO"},{"displayOrder":0,"qnaId":128,"displayText":"1001. IK"}]	54
1. Exports and Imports	![Exports and Imports](https://i.imgur.com/ltMe2zC.png)	Editorial		[]	false	[]	55
3. Rest and Spread Operators	![Rest and Spread](https://i.imgur.com/ZemMw0C.png)	Editorial		[]	false	[]	56
2. Next Gen JS	Following topics are covered under Next Gen JS:	Editorial		[]	false	[{"displayOrder":0,"qnaId":55,"displayText":"1. Exports and Imports"},{"displayOrder":0,"qnaId":53,"displayText":"2. Classes"},{"displayOrder":0,"qnaId":56,"displayText":"3. Rest and Spread Operators"},{"displayOrder":0,"qnaId":52,"displayText":"4. Destructuring"}]	57
Things to remember	Topics as follow (Things to remember):	Editorial		[]	false	[]	58
1. Reference Types	Non-Primitive types, like Objects, are stored in memory and their identifiers simply point to that place place in memory. To copy over the properties use spread technique: ![spreadForImmutabilityInObjects](https://i.imgur.com/tsqT6sj.png)	Editorial		[]	false	[]	59
1. Review	Following topics are covered under Review Section:	Editorial		[]	false	[{"displayOrder":0,"qnaId":59,"displayText":"1. Reference Types"},{"displayOrder":0,"qnaId":61,"displayText":"2. All Array Functions"}]	60
2. All Array Functions	JavaScript array functions like `map()` , `filter()` , `reduce()` etc. can be beneficial since a lot of React concepts rely on working with arrays (in immutable ways). \n\nDocumentation links: \n[`map()`](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/map) [`find()`](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/find) [`findIndex()` ](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/findIndex) [`filter()`](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/filter)  [`reduce()`](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/Reduce?v=b) [`concat()`](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/concat?v=b) [`slice()`](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/slice) [`splice()`](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/splicetest)\n\nClick for example code:	Editorial		[]	false	[{"displayOrder":0,"qnaId":62,"displayText":".map()"},{"displayOrder":0,"qnaId":63,"displayText":".find()"},{"displayOrder":0,"qnaId":64,"displayText":".findIndex()"},{"displayOrder":0,"qnaId":65,"displayText":".reduce()"},{"displayOrder":0,"qnaId":66,"displayText":".concat()"},{"displayOrder":0,"qnaId":67,"displayText":".slice()"},{"displayOrder":0,"qnaId":68,"displayText":".splice()"}]	61
.map()	```javascript\nvar array1 = [1, 4, 9, 16];\n\n// pass a function to map\nconst map1 = array1.map(x => x * 2);\n\nconsole.log(map1);\n// expected output: Array [2, 8, 18, 32]\n```	Editorial		[]	false	[]	62
.find()	```javascript\nvar array1 = [5, 12, 8, 130, 44];\n\nvar found = array1.find(function(element) {\n  return element > 10;\n});\n\nconsole.log(found);\n// expected output: 12\n```	Editorial		[]	false	[]	63
.findIndex()	```javascript\nvar array1 = [5, 12, 8, 130, 44];\n\nfunction isLargeNumber(element) {\n  return element > 13;\n}\n\nconsole.log(array1.findIndex(isLargeNumber));\n// expected output: 3\n```	Editorial		[]	false	[]	64
.reduce()	```javascript\nconst array1 = [1, 2, 3, 4];\nconst reducer = (accumulator, currentValue) => accumulator + currentValue;\n\n// 1 + 2 + 3 + 4\nconsole.log(array1.reduce(reducer));\n// expected output: 10\n\n// 5 + 1 + 2 + 3 + 4\nconsole.log(array1.reduce(reducer, 5));\n// expected output: 15\n```	Editorial		[]	false	[]	65
.concat()	```javascript\nvar array1 = ['a', 'b', 'c'];\nvar array2 = ['d', 'e', 'f'];\n\nconsole.log(array1.concat(array2));\n// expected output: Array ["a", "b", "c", "d", "e", "f"]\n```	Editorial		[]	false	[]	66
.slice()	```javascript\nvar animals = ['ant', 'bison', 'camel', 'duck', 'elephant'];\n\nconsole.log(animals.slice(2));\n// expected output: Array ["camel", "duck", "elephant"]\n\nconsole.log(animals.slice(2, 4));\n// expected output: Array ["camel", "duck"]\n\nconsole.log(animals.slice(1, 5));\n// expected output: Array ["bison", "camel", "duck", "elephant"]\n```	Editorial		[]	false	[]	67
.splice()	```javascript\nvar months = ['Jan', 'March', 'April', 'June'];\nmonths.splice(1, 0, 'Feb');\n// inserts at index 1\nconsole.log(months);\n// expected output: Array ['Jan', 'Feb', 'March', 'April', 'June']\n\nmonths.splice(4, 1, 'May');\n// replaces 1 element at index 4\nconsole.log(months);\n// expected output: Array ['Jan', 'Feb', 'March', 'April', 'May']\n```	Editorial		[]	false	[]	68
3. Base Features & Syntax	Following topics are covered under Base Features & Syntax Section:	Editorial		[]	false	[{"displayOrder":0,"qnaId":70,"displayText":"25. The Build WorkFlow"},{"displayOrder":0,"qnaId":71,"displayText":"26. Using Create React App"},{"displayOrder":0,"qnaId":72,"displayText":"27. Understanding the Folder Structure"},{"displayOrder":0,"qnaId":85,"displayText":"28. Understanding Component Basics"},{"displayOrder":0,"qnaId":86,"displayText":"29. Understanding JSX"},{"displayOrder":0,"qnaId":87,"displayText":"30. JSX Restrictions"},{"displayOrder":0,"qnaId":90,"displayText":"31. Creating a functional Component"},{"displayOrder":0,"qnaId":91,"displayText":"32. Components & JSX Cheat Sheet"},{"displayOrder":0,"qnaId":92,"displayText":"33. Working with Components & Re-Using Them"},{"displayOrder":0,"qnaId":93,"displayText":"34. Outputting Dynamic Content"},{"displayOrder":0,"qnaId":94,"displayText":"35. Working with Props"}]	69
25. The Build WorkFlow	![The Build WorkFlow](https://i.imgur.com/TNayWEt.png)	Editorial		[]	false	[{"displayOrder":0,"qnaId":71,"displayText":"26. Using Create React App"}]	70
26. Using Create React App	Steps:\n\n1. [Create-React-App GitHub](https://github.com/facebook/create-react-app)\n\n1. [Node.JS dl link](https://nodejs.org/en/)\n\n1. Following commands in console where you wish to create your first react project:\n\n```bash\n\nnpm install create-react-app -g\n\ncreate-react-app react-complete-guide --script-version 1.1.5\n\ncd react-complete-guide\n\nnpm start\n\n```	Editorial		[]	false	[{"displayOrder":0,"qnaId":72,"displayText":"27. Understanding the Folder Structure"}]	71
